ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease,prev_label_malicious,static_size_prev_uncompressed_bytes,static_size_curr_uncompressed_bytes,static_size_delta_vs_prev,static_size_ratio_vs_prev,ratio_static_size_uncompressed_bytes,delta_pypi_size_bytes,ratio_pypi_size_bytes,delta_npm_unpacked_size_bytes,ratio_npm_unpacked_size_bytes,delta_npm_file_count,ratio_npm_file_count,delta_entropy_ratio_size,ratio_entropy_ratio_size,delta_entropy_indicator,ratio_entropy_indicator
npm,@dev-blinq/cucumber_client,1.0.735-stage,1.0.735-stage,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1030509.0,1030509.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.735-stage,1.0.736-dev,1,,,-1.0,,,,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,,1030509.0,953545.0,-76964.0,0.9253145775534226,0.9253145775534226,,,-76964.0,0.9253145775534226,-3.0,0.9659090909090909,-492.1530748663099,0.9579727391141317,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-dev,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,953545.0,953545.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-dev,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,953545.0,953545.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-stage,0,,,1.0,,,,0.0,1.0,2.0,0.0,2.0,0.0,0.0,,953545.0,903586.0,-49959.0,0.9476070872376238,0.9476070872376238,,,-49959.0,0.9476070872376238,3.0,1.035294117647059,-950.1537433155081,0.9153023001727049,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.736-stage,1.0.736-stage,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,903586.0,903586.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.736-stage,1.0.737-dev,1,,,-1.0,,,,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,,903586.0,961004.0,57418.0,1.063544587897555,1.063544587897555,,,57418.0,1.063544587897555,-2.0,0.9772727272727273,906.4423890063426,1.08827818296494,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-dev,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,961004.0,961004.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-dev,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,961004.0,961004.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-stage,0,,,1.0,,,,0.0,1.0,2.0,0.0,2.0,0.0,0.0,,961004.0,1030510.0,69506.0,1.072326441929482,1.072326441929482,,,69506.0,1.072326441929482,2.0,1.0232558139534884,535.8757928118393,1.0479553864310847,0.0,1.0
